bread,onion,bread,grape_juice,bread
corn,onion,corn,crackers,corn
potato_chips,crackers,orange_juice,jelly,crackers
corn,coke,orange_juice,corn,corn
onion,apple,crackers,coke,apple
onion,apple,cereal,jelly,apple
cereal,orange_juice,onion,bread,bread
orange_juice,grape_juice,corn,jelly,grape_juice
coke,apple,cereal,coke,coke
grape_juice,onion,jelly,corn,jelly
orange_juice,potato_chips,grape_juice,onion,grape_juice
potato_chips,coke,potato_chips,onion,potato_chips
coke,crackers,onion,orange_juice,orange_juice
onion,crackers,onion,coke,onion
orange,cereal,orange,corn,orange
jelly,crackers,apple,corn,apple
onion,apple,bread,potato_chips,apple
cereal,cereal,bread,corn,cereal
apple,apple,onion,corn,apple
grape_juice,grape_juice,bread,jelly,grape_juice
bread,jelly,apple,onion,jelly
orange,jelly,corn,potato_chips,corn
orange,corn,coke,potato_chips,corn
onion,coke,bread,apple,apple
cereal,potato_chips,onion,orange,potato_chips
grape_juice,apple,orange_juice,crackers,orange_juice
jelly,coke,bread,potato_chips,bread
onion,onion,corn,crackers,onion
crackers,orange_juice,potato_chips,jelly,potato_chips
orange,orange_juice,grape_juice,coke,orange_juice
apple,bread,orange,apple,apple
corn,apple,onion,corn,corn
potato_chips,jelly,orange_juice,grape_juice,jelly
orange_juice,onion,grape_juice,crackers,grape_juice
orange,orange,cereal,grape_juice,orange
grape_juice,grape_juice,jelly,cereal,grape_juice
onion,apple,crackers,grape_juice,apple
jelly,onion,apple,potato_chips,apple
potato_chips,corn,potato_chips,orange,potato_chips
potato_chips,cereal,potato_chips,corn,potato_chips
apple,orange_juice,coke,bread,orange_juice
apple,jelly,onion,cereal,onion
bread,cereal,orange,apple,cereal
crackers,apple,potato_chips,coke,potato_chips
orange,coke,potato_chips,grape_juice,grape_juice
cereal,cereal,potato_chips,corn,cereal
grape_juice,grape_juice,onion,corn,grape_juice
jelly,crackers,potato_chips,jelly,jelly
grape_juice,orange,bread,orange_juice,orange_juice
onion,orange_juice,onion,orange,onion
onion,cereal,crackers,onion,onion
grape_juice,onion,grape_juice,orange_juice,grape_juice
bread,cereal,coke,bread,bread
apple,orange_juice,cereal,orange,orange
bread,crackers,onion,coke,crackers
coke,cereal,potato_chips,coke,coke
orange,onion,orange,coke,orange
orange,coke,crackers,orange_juice,orange_juice
